days.incubated,estimate,upper95,lower95,pair_id,mesh.type,cohort_id,year,stream,block,species
59,2.5043286860288095e-4,9.717662146446614e-4,-3.012633824584996e-4,4,Coarse,6,pre1,WS55,4,ACER
60,2.241381909194783e-4,9.5161967355822e-4,-3.220289786042926e-4,4,Coarse,6,pre1,WS55,4,ACER
61,1.9788870742387093e-4,9.267276298528125e-4,-3.4003782437602573e-4,4,Coarse,6,pre1,WS55,4,ACER
62,1.7167556565933454e-4,9.069070633679073e-4,-3.626829809342243e-4,4,Coarse,6,pre1,WS55,4,ACER
63,1.4549034421551364e-4,8.77765077357896e-4,-3.8552417826557704e-4,4,Coarse,6,pre1,WS55,4,ACER
64,1.1932502157742209e-4,8.484056240415793e-4,-4.077498921445034e-4,4,Coarse,6,pre1,WS55,4,ACER
65,9.317194760854893e-5,8.212622346287937e-4,-4.260967724897466e-4,4,Coarse,6,pre1,WS55,4,ACER
66,6.702381740743208e-5,7.935996581034329e-4,-4.484324291645878e-4,4,Coarse,6,pre1,WS55,4,ACER
67,4.087364730614048e-5,7.654057462161635e-4,-4.6510041687873447e-4,4,Coarse,6,pre1,WS55,4,ACER
68,1.471475280501516e-5,7.366685531062396e-4,-4.86714654680227e-4,4,Coarse,6,pre1,WS55,4,ACER
69,-1.1459271739648356e-5,7.097989517588619e-4,-5.083538101571007e-4,4,Coarse,6,pre1,WS55,4,ACER
70,-3.765457183856713e-5,6.859798504758635e-4,-5.316992173085554e-4,4,Coarse,6,pre1,WS55,4,ACER
71,-6.3877050149198e-5,6.616324700403289e-4,-5.554525985988801e-4,4,Coarse,6,pre1,WS55,4,ACER
72,-9.013238244311207e-5,6.334880027268102e-4,-5.802207516033734e-4,4,Coarse,6,pre1,WS55,4,ACER
73,-1.1642603237856587e-4,6.039286884987566e-4,-6.04238615944116e-4,4,Coarse,6,pre1,WS55,4,ACER
74,-1.4276326518343127e-4,5.739071044139787e-4,-6.268177760618204e-4,4,Coarse,6,pre1,WS55,4,ACER
75,-1.691491603435994e-4,5.45415651675642e-4,-6.48382473585099e-4,4,Coarse,6,pre1,WS55,4,ACER
76,-1.9558862338211807e-4,5.190121072842908e-4,-6.699546233901725e-4,4,Coarse,6,pre1,WS55,4,ACER
77,-2.220863968062662e-4,4.885799343287322e-4,-6.913192353065224e-4,4,Coarse,6,pre1,WS55,4,ACER
78,-2.486470702922135e-4,4.5453874402832874e-4,-7.199272065204741e-4,4,Coarse,6,pre1,WS55,4,ACER
79,-2.752750901702497e-4,4.2172323497580773e-4,-7.456013859680989e-4,4,Coarse,6,pre1,WS55,4,ACER
80,-3.019747682676597e-4,3.9219902802913856e-4,-7.675784741401752e-4,4,Coarse,6,pre1,WS55,4,ACER
81,-3.287502901611691e-4,3.6199775839257365e-4,-7.916098285054064e-4,4,Coarse,6,pre1,WS55,4,ACER
82,-3.556057228857617e-4,3.398911034643403e-4,-8.192820437190488e-4,4,Coarse,6,pre1,WS55,4,ACER
83,-3.825450221429063e-4,3.092126317430538e-4,-8.389629348536916e-4,4,Coarse,6,pre1,WS55,4,ACER
84,-4.0957203904697277e-4,2.716029812617053e-4,-8.63798883389631e-4,4,Coarse,6,pre1,WS55,4,ACER
85,-4.3669052644529843e-4,2.341232045249783e-4,-8.951502478486993e-4,4,Coarse,6,pre1,WS55,4,ACER
86,-4.639041448445441e-4,1.991312637133996e-4,-9.17436242606548e-4,4,Coarse,6,pre1,WS55,4,ACER
87,-4.912164679726245e-4,1.6443454164398227e-4,-0.00094246008234843135,4,Coarse,6,pre1,WS55,4,ACER
88,-5.18630988003468e-4,1.2891804277869798e-4,-9.745615555264812e-4,4,Coarse,6,pre1,WS55,4,ACER
89,-5.461511204693869e-4,8.750196522857324e-5,-9.987542087889984e-4,4,Coarse,6,pre1,WS55,4,ACER
90,-5.737802088837246e-4,5.0404870116841047e-5,-0.0010260528295788108,4,Coarse,6,pre1,WS55,4,ACER
91,-6.015215290945127e-4,1.6464833505882075e-5,-0.0010527556969043613,4,Coarse,6,pre1,WS55,4,ACER
92,-6.293782933885671e-4,-2.1747230675986058e-5,-0.001074314865496659,4,Coarse,6,pre1,WS55,4,ACER
93,-6.573536543632214e-4,-6.166401765882443e-5,-0.0010972160100874199,4,Coarse,6,pre1,WS55,4,ACER
94,-6.854507085822703e-4,-8.960882443670937e-5,-0.001125802019807114,4,Coarse,6,pre1,WS55,4,ACER
95,-7.136725000306817e-4,-1.3031604162092058e-4,-0.0011563133008298146,4,Coarse,6,pre1,WS55,4,ACER
96,-7.420220233820602e-4,-1.5895149381032976e-4,-0.0011805529773399805,4,Coarse,6,pre1,WS55,4,ACER
97,-7.705022270914368e-4,-1.9918531980557923e-4,-0.0012169953462550101,4,Coarse,6,pre1,WS55,4,ACER
98,-7.991160163250281e-4,-2.0981486414333524e-4,-0.001249876588181061,4,Coarse,6,pre1,WS55,4,ACER
99,-8.278662557379753e-4,-2.522901365661972e-4,-0.0012824028500451094,4,Coarse,6,pre1,WS55,4,ACER
100,-8.56755772109762e-4,-2.7865270623233726e-4,-0.001312607595209347,4,Coarse,6,pre1,WS55,4,ACER
101,-8.857873568469067e-4,-3.100718042738443e-4,-0.001343497875497851,4,Coarse,6,pre1,WS55,4,ACER
102,-9.14963768361248e-4,-3.2482268707523747e-4,-0.0013780639049952997,4,Coarse,6,pre1,WS55,4,ACER
103,-9.442877343318716e-4,-3.5250039849392276e-4,-0.001425506385878898,4,Coarse,6,pre1,WS55,4,ACER
104,-9.737619538581066e-4,-3.682496185062484e-4,-0.0014614144123161546,4,Coarse,6,pre1,WS55,4,ACER
105,-0.0010033890995103179,-3.9773739017315995e-4,-0.0015012770815922834,4,Coarse,6,pre1,WS55,4,ACER
106,-0.0010331718192850543,-4.0559488861609646e-4,-0.0015433529987994568,4,Coarse,6,pre1,WS55,4,ACER
107,-0.0010631127384701556,-4.20496080865444e-4,-0.0015830534265177739,4,Coarse,6,pre1,WS55,4,ACER
108,-0.0010932144614257235,-4.3576368639268605e-4,-0.001619398852698242,4,Coarse,6,pre1,WS55,4,ACER
109,-0.0011234795732857317,-4.4483103493369984e-4,-0.0016560566855925378,4,Coarse,6,pre1,WS55,4,ACER
110,-0.0011539106415853122,-4.630767523237787e-4,-0.0016939751664977114,4,Coarse,6,pre1,WS55,4,ACER
111,-0.0011845102178179702,-4.88758853348431e-4,-0.0017387032567579962,4,Coarse,6,pre1,WS55,4,ACER
112,-0.0012152808389270654,-5.061189152172455e-4,-0.0017776573831709567,4,Coarse,6,pre1,WS55,4,ACER
113,-0.0012462250287353005,-5.245668200165412e-4,-0.0018200420191183259,4,Coarse,6,pre1,WS55,4,ACER
114,-0.001277345299315909,-5.556864027363393e-4,-0.0018681231549432169,4,Coarse,6,pre1,WS55,4,ACER
115,-0.0013086441523089752,-5.615829873460643e-4,-0.0019133371639503281,4,Coarse,6,pre1,WS55,4,ACER
116,-0.0013401240801858964,-5.804953678623094e-4,-0.0019545054160184493,4,Coarse,6,pre1,WS55,4,ACER
117,-0.0013717875674651968,-5.945131138465053e-4,-0.001999041288048604,4,Coarse,6,pre1,WS55,4,ACER
118,-0.0014036370918822255,-6.031911296238401e-4,-0.002053457779758194,4,Coarse,6,pre1,WS55,4,ACER
119,-0.0014356751255155003,-6.098087301885467e-4,-0.0021066460811086304,4,Coarse,6,pre1,WS55,4,ACER
120,-0.0014679041358721476,-6.163726487014518e-4,-0.0021645659448878748,4,Coarse,6,pre1,WS55,4,ACER
121,-0.0015003265869345333,-6.228838068627762e-4,-0.0022231347350481845,4,Coarse,6,pre1,WS55,4,ACER
122,-0.0015329449401705567,-6.293431027220299e-4,-0.0022845631087544845,4,Coarse,6,pre1,WS55,4,ACER
123,-0.001565761655509291,-6.343968943374513e-4,-0.002341411616923758,4,Coarse,6,pre1,WS55,4,ACER
124,-0.0015987791922840947,-6.37375159194196e-4,-0.0024035465024977486,4,Coarse,6,pre1,WS55,4,ACER
125,-0.0016320000101449081,-6.403177848376732e-4,-0.002467401561823493,4,Coarse,6,pre1,WS55,4,ACER
126,-0.001665426569941383,-6.433538643291676e-4,-0.002534560403342561,4,Coarse,6,pre1,WS55,4,ACER
127,-0.0016990613345784368,-6.502717218377497e-4,-0.002604794025307825,4,Coarse,6,pre1,WS55,4,ACER
128,-0.0017329067698457793,-6.608222535790035e-4,-0.002670870600173411,4,Coarse,6,pre1,WS55,4,ACER
129,-0.0017669653452226817,-6.704629842122257e-4,-0.0027610395631110733,4,Coarse,6,pre1,WS55,4,ACER
130,-0.0018012395346594736,-6.797981187839063e-4,-0.0028463293932238097,4,Coarse,6,pre1,WS55,4,ACER
131,-0.0018357318173368579,-6.857151931189792e-4,-0.0029353031382177135,4,Coarse,6,pre1,WS55,4,ACER
132,-0.0018704446784042743,-6.91588802375004e-4,-0.0030256658237394142,4,Coarse,6,pre1,WS55,4,ACER
133,-0.0019053806096985175,-6.974196246908e-4,-0.0031265242803554054,4,Coarse,6,pre1,WS55,4,ACER
134,-0.0019405421104434302,-7.032083223713801e-4,-0.003224640316134645,4,Coarse,6,pre1,WS55,4,ACER
135,-0.0019759316879319096,-7.089646199884465e-4,-0.003345919147243624,4,Coarse,6,pre1,WS55,4,ACER
136,-0.002011551858190985,-7.147806123533977e-4,-0.003453480836701205,4,Coarse,6,pre1,WS55,4,ACER
137,-0.00204740514663087,-7.20555849211204e-4,-0.0035667717775614218,4,Coarse,6,pre1,WS55,4,ACER
138,-0.0020834940886789834,-7.262909397793663e-4,-0.003682744964575998,4,Coarse,6,pre1,WS55,4,ACER
139,-0.002119821230399449,-7.319864796190683e-4,-0.003769903379157941,4,Coarse,6,pre1,WS55,4,ACER
140,-0.002156389129099094,-7.376430510416108e-4,-0.003890400327234172,4,Coarse,6,pre1,WS55,4,ACER
141,-0.002193200353920493,-7.432612234976145e-4,-0.003986379060702499,4,Coarse,6,pre1,WS55,4,ACER
142,-0.0022302574864227517,-7.488415539535196e-4,-0.004077673319752265,4,Coarse,6,pre1,WS55,4,ACER
143,-0.0022675631211507333,-7.543845872522064e-4,-0.004182956296417502,4,Coarse,6,pre1,WS55,4,ACER
144,-0.002305119866193243,-7.598908564643308e-4,-0.004297767036943744,4,Coarse,6,pre1,WS55,4,ACER
145,-0.0023429303437307847,-7.653608832235121e-4,-0.004417566922170553,4,Coarse,6,pre1,WS55,4,ACER
146,-0.002380997190573469,-7.708879447847746e-4,-0.004519435290893422,4,Coarse,6,pre1,WS55,4,ACER
147,-0.0024193230586894926,-7.763944558561132e-4,-0.004626056843213178,4,Coarse,6,pre1,WS55,4,ACER
148,-0.0024579106157247687,-7.818658759144107e-4,-0.0047696892463880355,4,Coarse,6,pre1,WS55,4,ACER
149,-0.002496762545514081,-7.87302687540655e-4,-0.004916586026021979,4,Coarse,6,pre1,WS55,4,ACER
150,-0.0025358815485844,-7.927053633312873e-4,-0.005066289746820501,4,Coarse,6,pre1,WS55,4,ACER
151,-0.0025752703426504156,-7.980743661715496e-4,-0.0052188875253309725,4,Coarse,6,pre1,WS55,4,ACER
152,-0.00261493166310313,-8.03410149500069e-4,-0.005363432126033247,4,Coarse,6,pre1,WS55,4,ACER
153,-0.0026548682634914976,-8.087131575637291e-4,-0.005494623824037132,4,Coarse,6,pre1,WS55,4,ACER
154,-0.0026950829159977725,-8.139838256665868e-4,-0.005627662319608144,4,Coarse,6,pre1,WS55,4,ACER
155,-0.00273557841190668,-8.173403899415575e-4,-0.005762562700308792,4,Coarse,6,pre1,WS55,4,ACER
156,-0.0027763575620688816,-8.205494284154277e-4,-0.005899340064175452,4,Coarse,6,pre1,WS55,4,ACER
157,-0.002817423197359017,-8.237316330518922e-4,-0.006038009519871431,4,Coarse,6,pre1,WS55,4,ACER
158,-0.0028587781691285564,-8.268874107859046e-4,-0.006178586186829656,4,Coarse,6,pre1,WS55,4,ACER
159,-0.002900425349653859,-8.300171597702571e-4,-0.006321085195389072,4,Coarse,6,pre1,WS55,4,ACER
160,-0.0029423676325795655,-8.331212696205355e-4,-0.006465521686925719,4,Coarse,6,pre1,WS55,4,ACER
161,-0.002984607933357716,-8.364072965658858e-4,-0.006611910813973324,4,Coarse,6,pre1,WS55,4,ACER
162,-0.0030271491896827728,-8.424394529857054e-4,-0.006760267740341711,4,Coarse,6,pre1,WS55,4,ACER
