mesh.type,days.incubated,estimate,upper95,lower95,pair_id,cohort_id,year,stream,block,species
Coarse,41,0.9822610597267316,0.9926351389202257,0.9686786468869625,2,2,pre1,TOWR,4,RHODO
Coarse,42,0.9814307145550989,0.9921533095726606,0.967520452634998,2,2,pre1,TOWR,4,RHODO
Coarse,43,0.9805819942981446,0.991652543177185,0.966348916472826,2,2,pre1,TOWR,4,RHODO
Coarse,44,0.9797149314231786,0.9911325779689909,0.9651642514147616,2,2,pre1,TOWR,4,RHODO
Coarse,45,0.9788295589967214,0.9905931563206131,0.9639679199072637,2,2,pre1,TOWR,4,RHODO
Coarse,46,0.977925910720856,0.9900340247141539,0.9627614438169915,2,2,pre1,TOWR,4,RHODO
Coarse,47,0.9770040209666269,0.9894549337174902,0.9615426056232128,2,2,pre1,TOWR,4,RHODO
Coarse,48,0.976063924804775,0.9888556379641553,0.960311596360345,2,2,pre1,TOWR,4,RHODO
Coarse,49,0.9751056580340575,0.9882358961366228,0.9590686024816578,2,2,pre1,TOWR,4,RHODO
Coarse,50,0.9741292572073773,0.9875954709527318,0.9578050610115705,2,2,pre1,TOWR,4,RHODO
Coarse,51,0.9731347596559179,0.9869341291550272,0.9565097132237594,2,2,pre1,TOWR,4,RHODO
Coarse,52,0.9721222035114591,0.986251641502795,0.9552300077738602,2,2,pre1,TOWR,4,RHODO
Coarse,53,0.971091627727029,0.9855477827665995,0.9539697487215095,2,2,pre1,TOWR,4,RHODO
Coarse,54,0.9700430720960314,0.9848223317251354,0.9526744365346805,2,2,pre1,TOWR,4,RHODO
Coarse,55,0.9689765772699719,0.9840744600509399,0.9513626227292507,2,2,pre1,TOWR,4,RHODO
Coarse,56,0.9678921847748945,0.983303959583088,0.950040002539182,2,2,pre1,TOWR,4,RHODO
Coarse,57,0.9667899370266273,0.9825111366627609,0.9487067328833221,2,2,pre1,TOWR,4,RHODO
Coarse,58,0.965669877344927,0.9816957837384124,0.9473799745469991,2,2,pre1,TOWR,4,RHODO
Coarse,59,0.9645320499666036,0.980857697301806,0.9460510050507602,2,2,pre1,TOWR,4,RHODO
Coarse,60,0.9633765000576954,0.9799966778965429,0.9447126174413961,2,2,pre1,TOWR,4,RHODO
Coarse,61,0.9622032737247631,0.979112530127938,0.9433410348684966,2,2,pre1,TOWR,4,RHODO
Coarse,62,0.9610124180253586,0.9782050626741415,0.941877968104961,2,2,pre1,TOWR,4,RHODO
Coarse,63,0.9598039809777256,0.9772740882984059,0.940476812813683,2,2,pre1,TOWR,4,RHODO
Coarse,64,0.9585780115697763,0.9763194238624049,0.9390556179904849,2,2,pre1,TOWR,4,RHODO
Coarse,65,0.9573345597673943,0.9753408903405184,0.9376043625034899,2,2,pre1,TOWR,4,RHODO
Coarse,66,0.9560736765220968,0.9743383128350006,0.9361426541636619,2,2,pre1,TOWR,4,RHODO
Coarse,67,0.9547954137780985,0.9733115205919505,0.9346706322322839,2,2,pre1,TOWR,4,RHODO
Coarse,68,0.9534998244788069,0.9722603470180113,0.9331962156271527,2,2,pre1,TOWR,4,RHODO
Coarse,69,0.952186962572781,0.9711846296977296,0.9317154968933117,2,2,pre1,TOWR,4,RHODO
Coarse,70,0.9508568830191804,0.9700842104115022,0.9302251738783207,2,2,pre1,TOWR,4,RHODO
Coarse,71,0.9495096417927303,0.9689589351540504,0.9287253759890457,2,2,pre1,TOWR,4,RHODO
Coarse,72,0.9481452958882258,0.9678086541533577,0.9273231918914087,2,2,pre1,TOWR,4,RHODO
Coarse,73,0.9467639033245965,0.9666377932953866,0.9259388689288789,2,2,pre1,TOWR,4,RHODO
