,sample.id,stream,block,species,mesh.type,year,date.deploy,date.collected,intitial.dry.mass.g,days.incubated,final.dry.mass.g,Tin.ID,tin.mass.g,tin.drymass.g,tin.ash.mass.g,month.collected,year.collected,leaf.dm.g,fung.biom.mg,fungal.biom.mg.g.afdm,init.dry_hl,init.afdm.g,tin.afdm.g,prop.afdm,final.drymass.gb,final.afdm.g,final.afdm.fbsub.g,final.afdm.gfb,mass.loss.g,pct.mass.remain,ln.pct.mass.remain,interval,mean.temp
141,W142,WS55,4,RHODO,Coarse,pre1,11/27/2017,12/18/2017,9.97,21,8.72,,3.6291,10.3672,4.0448,12,2017,NA,NA,NA,9.1925,8.682029439,6.3224,0.938306051,8.72,8.182028762,NA,8.182028762,0.500000677,94.24097003,4.545855013,NA,NA
142,W143,WS55,4,RHODO,Coarse,pre1,11/27/2017,12/18/2017,9.91,21,8.84,,3.6376,10.0731,3.9846,12,2017,NA,NA,NA,9.1325,8.625361311,6.0885,0.946080336,8.84,8.363350167,NA,8.363350167,0.262011144,96.96231689,4.574322417,NA,NA
143,W144,WS55,4,RHODO,Coarse,pre1,11/27/2017,12/18/2017,9.99,21,8.98,,3.6403,9.601,3.9484,12,2017,NA,NA,NA,9.2125,8.700918815,5.6526,0.94831144,8.98,8.515836731,NA,8.515836731,0.185082084,97.87284437,4.58366913,NA,NA
144,W145,WS55,4,RHODO,Coarse,pre1,11/27/2017,2/5/2018,9.93,70,8.66,,3.5059,9.1058,3.8241,2,2018,0.1301,2.36,20.18,9.1525,8.644250687,5.2817,0.943177557,8.66,8.167917641,0.1227074,8.290625042,0.353625645,94.48959704,4.548489744,NA,NA
145,W146,WS55,4,RHODO,Coarse,pre1,11/27/2017,2/5/2018,10.09,70,8.37,,3.5336,8.5862,3.8639,2,2018,0.0678,2.62,42.93,9.3125,8.795365695,4.7223,0.934627716,8.37,7.822833986,0.063367759,7.886201746,0.909163949,88.94268025,4.48799212,NA,NA
146,W147,WS55,4,RHODO,Coarse,pre1,11/27/2017,2/5/2018,9.9,70,8.57,,3.5479,9.0845,3.8676,2,2018,0.0844,3.29,43.32,9.1225,8.615916623,5.2169,0.942256981,8.57,8.075142326,0.079526489,8.154668815,0.461247808,93.72354305,4.540349418,NA,NA
147,W148,WS55,4,RHODO,Coarse,pre1,11/27/2017,12/4/2017,10.06,7,9.29,,3.6378,10.7189,3.9732,12,2017,NA,NA,NA,9.2825,8.767031631,6.7457,0.952634478,9.29,8.849974298,NA,8.849974298,-0.082942667,100.9460747,4.61458646,NA,NA
148,W149,WS55,4,RHODO,Coarse,pre1,11/27/2017,12/4/2017,9.96,7,9.18,,3.6533,10.0282,3.9561,12,2017,NA,NA,NA,9.1825,8.672584751,6.0721,0.952501216,9.18,8.74396116,NA,8.74396116,-0.071376409,100.823012,4.613366623,NA,NA
149,W150,WS55,4,RHODO,Coarse,pre1,11/27/2017,12/4/2017,10.02,7,8.81,,3.6409,9.7906,3.923,12,2017,NA,NA,NA,9.2425,8.729252879,5.8676,0.954127844,8.81,8.405866302,NA,8.405866302,0.323386576,96.29536936,4.567420232,NA,NA
150,W151,WS55,4,RHODO,Coarse,pre1,11/27/2017,12/11/2017,9.99,14,8.7,,3.6196,9.0722,3.9092,12,2017,0.1658,1.35,9.03,9.2125,8.700918815,5.163,0.946887723,8.7,8.237923193,0.156993985,8.394917177,0.306001638,94.67877322,4.550489827,NA,NA
151,W152,WS55,4,RHODO,Coarse,pre1,11/27/2017,12/11/2017,9.97,14,8.78,,3.6419,9.8303,3.9622,12,2017,0.1667,1.4,9.33,9.1925,8.682029439,5.8681,0.948241872,8.78,8.325563635,0.15807192,8.483635555,0.198393884,95.89421107,4.563245616,NA,NA
152,W153,WS55,4,RHODO,Coarse,pre1,11/27/2017,12/11/2017,9.95,14,8.83,,3.6428,9.391,3.9061,12,2017,0.1309,1.47,12.46,9.1725,8.663140063,5.4849,0.954194356,8.83,8.425536168,0.124904041,8.550440209,0.112699854,97.25730055,4.57736005,NA,NA
153,W154,WS55,4,RHODO,Coarse,pre1,11/27/2017,3/12/2018,9.92,105,8.34,,3.5438,8.8502,3.8553,3,2018,NA,NA,NA,9.1425,8.634805999,4.9949,0.941297301,8.34,7.850419493,NA,7.850419493,0.784386506,90.91599156,4.50993591,NA,NA
154,W155,WS55,4,RHODO,Coarse,pre1,11/27/2017,3/12/2018,9.92,105,8.58,,3.5174,10.5973,3.8962,3,2018,NA,NA,NA,9.1425,8.634805999,6.7011,0.946496419,8.58,8.120939279,NA,8.120939279,0.51386672,94.04889096,4.543814764,NA,NA
155,W156,WS55,4,RHODO,Coarse,pre1,11/27/2017,3/12/2018,10.08,105,8.77,,3.5296,8.2068,3.815,3,2018,NA,NA,NA,9.3025,8.785921007,4.3918,0.938980587,8.77,8.234859745,NA,8.234859745,0.551061262,93.72790557,4.540395963,NA,NA
